Summary of the training: 
(' ave_R ', 45.48, ' std_R ', 8.72, ' min_R ', 35.93, ' max_R ', 67.6, ' times ', 29018, ' epi', 100, ' clock ', 0.08, ' min')
(' ave_R ', 46.25, ' std_R ', 9.7, ' min_R ', 34.44, ' max_R ', 73.07, ' times ', 57771, ' epi', 200, ' clock ', 0.15, ' min')
(' ave_R ', 46.14, ' std_R ', 9.87, ' min_R ', 29.88, ' max_R ', 73.07, ' times ', 87880, ' epi', 300, ' clock ', 0.22, ' min')
(' ave_R ', 41.4, ' std_R ', 12.68, ' min_R ', 0.0, ' max_R ', 73.07, ' times ', 117271, ' epi', 400, ' clock ', 0.3, ' min')
(' ave_R ', 41.17, ' std_R ', 12.06, ' min_R ', 0.0, ' max_R ', 73.07, ' times ', 146081, ' epi', 500, ' clock ', 0.38, ' min')
(' ave_R ', 42.48, ' std_R ', 12.54, ' min_R ', 0.0, ' max_R ', 81.27, ' times ', 175100, ' epi', 600, ' clock ', 0.45, ' min')
(' ave_R ', 41.78, ' std_R ', 13.2, ' min_R ', 0.0, ' max_R ', 81.27, ' times ', 203434, ' epi', 700, ' clock ', 0.53, ' min')
(' ave_R ', 41.2, ' std_R ', 12.5, ' min_R ', 0.0, ' max_R ', 81.27, ' times ', 232318, ' epi', 800, ' clock ', 0.61, ' min')
(' ave_R ', 41.37, ' std_R ', 12.09, ' min_R ', 0.0, ' max_R ', 81.27, ' times ', 261697, ' epi', 900, ' clock ', 0.68, ' min')
(' ave_R ', 41.39, ' std_R ', 12.16, ' min_R ', 0.0, ' max_R ', 81.27, ' times ', 291753, ' epi', 1000, ' clock ', 0.76, ' min')
(' ave_R ', 42.04, ' std_R ', 12.83, ' min_R ', 0.0, ' max_R ', 81.27, ' times ', 320934, ' epi', 1100, ' clock ', 0.84, ' min')
(' ave_R ', 42.61, ' std_R ', 14.84, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 349246, ' epi', 1200, ' clock ', 0.91, ' min')
(' ave_R ', 40.68, ' std_R ', 15.62, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 377878, ' epi', 1300, ' clock ', 0.98, ' min')
(' ave_R ', 42.05, ' std_R ', 15.06, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 407745, ' epi', 1400, ' clock ', 1.06, ' min')
(' ave_R ', 39.84, ' std_R ', 17.18, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 436298, ' epi', 1500, ' clock ', 1.13, ' min')
(' ave_R ', 39.03, ' std_R ', 17.86, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 465214, ' epi', 1600, ' clock ', 1.21, ' min')
(' ave_R ', 40.42, ' std_R ', 18.88, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 495417, ' epi', 1700, ' clock ', 1.28, ' min')
(' ave_R ', 37.4, ' std_R ', 21.78, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 525399, ' epi', 1800, ' clock ', 1.36, ' min')
(' ave_R ', 37.5, ' std_R ', 22.18, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 554942, ' epi', 1900, ' clock ', 1.43, ' min')
(' ave_R ', 35.59, ' std_R ', 22.92, ' min_R ', 0.0, ' max_R ', 113.91, ' times ', 585276, ' epi', 2000, ' clock ', 1.5, ' min')
(' ave_R ', 35.66, ' std_R ', 23.43, ' min_R ', 0.0, ' max_R ', 115.75, ' times ', 617050, ' epi', 2100, ' clock ', 1.58, ' min')
(' ave_R ', 34.19, ' std_R ', 21.49, ' min_R ', 0.0, ' max_R ', 115.75, ' times ', 647439, ' epi', 2200, ' clock ', 1.66, ' min')
